Idioms,Translation(Literal meaning),Idomatic expression Meaning
Ti ajá ti ẹran,"With dog, with goat",all sorts of nonesense
Akéré korò,small bitter,a short devil
Alárìnjẹ,To walk and eat,a vagabond
Tẹ ojú ajẹ́ mọ́lẹ̀,To step on wealth face,to be extravagant
Lái sí àníyàn,without intention,with no hesitation
Da àníyàn sí ọ̀nà kan soso,put intention in one place,put all eggs in one basket
Anù mọ́ dàárò,He who wander with hesitation,an aimless wanderer
Fi ara balẹ̀,put body down,to be patient and at alert
Fi ara dàá,use body to accept it,endure
Ara fífà,drawing body,indisposition
Fi ara hàn,Show body,to present oneself
Ará rọ̀ọ́,body soft,to be comfortable or relieved
Fi ara sílẹ̀,Put body down,"to be caught unawares, unalert, not cautious"
Fi ara sinko,put body to bush,To hide
Gbé ara sọ,put body up,to stretch oneself beyond assumed capability
Fi ara wé,Use body to compare,to imitate or copy
Àṣírí tú,secret open,a secret is exposed
Tẹ orí gba aṣọ,press head to accept cloth,to die
Pa àtẹ́,display tray,to display a behaviour  in a derogatory way
Awọ ò kájú ìlù,leather does not cover drum,Lack or inability to make ends meet
Dé ara mọ́ awo olóókan,Sealing oneself within the secret of the one-hearted,to know one’s limit
Awó ya,cult remove,the secret is unveiled
Ní àyà,have chest,to be brave and courageous
Fi àyà tìí,use chest to push it,to endure/ stand with
Ṣe àyà gbàagbà,have a broad chest,to be bold and fearless
Ayírí,head-turner,unreliable person
Bá ẹkùn ní bùba,me lion in its deen,to encounter danger unexpectedly
Bá lójijì,meet surdenly,shocked or surprised
Ba ojú jẹ́,destroy eye,to express displeasure
Baba ní igbẹ́jọ́,daddy in judgement ,godfather 
 Bàsèjẹ́ ton su éyìn obì,The spoiler who is roasting the back of the kola nut,A destroyer
Bẹ́ ejò lórí,cut discussion head,to provide an immediate solution to a problem
Bẹ ilẹ̀ wò,greet house,to get information in a cunny way
Bojú bojú,close eye close eye,secrecy
Bònkẹ́lẹ́,concealed manner.,secret
Bọ́ lọ́wọ́,Slipping from the hand,to escape or to lose something
Féra kú,Loving oneself unto death,Get pregnant
